20121010142615AATyNft,what is the other video like alien planet?,0
20121209081629AASNcWK,Can a 14 year old guy can be inject by a whitening gluthatione injection?,0
20150724063149AAQTKm6,"Maybe ""Trainwreck"" is just a horrible movie and the gunman was putting them out of their misery?",1
20110214212624AAKHiP8,First Law of thermodynamics?,0
20140910070439AAJu7tO,why cant i retrieve my emails? i can see them on the subject line but cant do anything?,0
20070801154624AAilvjl,Sharp pain in cervix-just after ovulation?,0
20131224002630AAApErn,Should i use a higher vecosity of oil for my car?,0
20091102185647AAeq31z,What version of the Bible do you use and why?,1
20130117174319AASqgHV,What is the coefficient of kinetic friction between the ramp and the crate?,0
20100822132901AAkrYBC,Is this laptop a good buy?,1
20070330010112AAPow4h,how to know if the girl have virginity?,0
20090421111839AA8akOY,I get this purple rash on my hand when i eat penut butter and jelly?,0
20100206095708AAw5MFR,"What do some of the christians on here think about the movie ""Legion""?",1
20100223050642AAxNcE1,Experience with working in a hostel in UK?? preferably London.. (+live in)?,1
20090307231935AAxsJph,what do I use to remove denture adhesive from my gums?,0
20100830233348AAMDLCD,10pts-GIRLS-WOMEN---your advice on HOT BAD BOYS....?,1
20100127121211AAsWHDf,Do you know any guys that have no problem getting girlfriends ?,1
20150923194600AAUYnjf,Relationship advice when dealing with a Leo male?,1
20120504151446AASAiy9,Why are most Christians boring conformists...?,1
20130814012655AAjA5Hd,Why do you think they don't make bigger iphones?,1
20070403202659AAgXsN2,What should I do with a thousand paper cranes?,1
20120926183328AApsce2,When is assassin creed 3 going to be released on wii u?,0
20100301083521AAQ4l9I,how many ways can you make the number ten?? e.g 1 add 9 =10 ect?,0
20081122134611AA7JQQK,I'm getting paid 300$ for this job... is it worth it?,1
20091114202242AA2EbcV,how can i convince my mom?,1
20101122103529AAJ53Zq,Not sure what this question is refering to. Please Help.?,0
20110627204429AA78pQN,My dads gf is a brat.tips?,1
20090127004434AAUwcIW,"Can you fix a human brain? Why is it that you all have so little ability other than to flap your ""JAWS""?",1
20080129015542AAtq9WO,Should I phone Jeremy Kyle to see if I can get help with my addiction to an early morning ITV talk show?,1
20081108063836AAkdO5t,My new cat has gone out the window - how do I encourage him to come back?,0
20100502070600AAnTwBY,I got something to ask about the achievements on my XBOX 360?,0
20101222084042AA02HGH,error message pops up won't go away?,0
20080302132423AAUQuz2,Can someone help me rephrase this article?,0
20090706071659AAB5HGA,how often should you wash a yorkshire terrier ?,0
20101111225516AADNUyU,How to lose that last 5kg (10 pounds)?,0
20090526060951AARAsY1,is it legal to own an ar 15 at the age of 18?,0
20090211185935AAIvwdo,Live and work Canada?,0
20060911124542AAQuuko,how long does it take to drive 1 km?,0
20120816000646AATGsXV,What's ur top 5 yaoi manga's?,1
20151115122106AA7NxS1,"�Do you want to know who you are? Don't ask. Act! Action will delineate and define you."" Is This quoted from the Jeffersonian?",0
20110307115728AAS0N19,Why hasnt Dana White signed Butterbean for the UFC?,1
20140801151047AA1zdAT,What to do now?,0
20111216050625AAVGPvb,Pills for breast enlargement?,0
20090923095920AArTUbK,"if my sick note says refrain from work till 30th sept ,when do i go back to work on the weds or thurs?",0
20110201072235AA5f9X4,A package is dropped from a passing plane(moving in the horizantal direction) and produces a projectile motion?,0
20120209151445AAkXb7U,"violin sheet music for "" you got a friend in me"" from toy story?",0
20160417172953AAj4I9z,Tell me everything about careers in finance.?,1
20150507231557AAYfu97,help!help!?,0
20151113074945AA4ih4k,Is it true that the Missouri college fiasco?,1
20100321150309AAZFnGs,How come stupid crap makes me wet these days?,1
20081129142808AAU0N41,Please help..ive been trying for 2hrs!!?,0
20101219181736AA7e3Hl,I Need A NIckname for him. help me out?,1
20091216180444AAwO5Gh,This guy just asked me out but he just broke up with my best friend:S?,1
20140506155026AAPJFH9,how can i save the earth?,1
20080503095537AAHuUx2,whats your favorite movie?,1
20100921135050AARH9el,Does a contested temporary guardian have the right to sell the elderly persons property?,0
20091201194137AAJXRDb,My husband and i had unsafe sex  a night  prior to my period. i got my period the next day. is it still safe.?,0
20071002223032AA3VbzB,How can I put a face on my yahoo profile?,0
20090328152454AA9SDAc,How do you make money?,1
20090204121937AAO4jf9,the width of a rectangle is 12 units less than the length.?,0
20090503171841AAYVE7p,How do i get get a 600 pound cherry log 6 ft long 1 ft wide out of the bush on a rocky terain?,0
20090103080204AAvpX98,Who's the disciplinarian in your home? (or when you were living with your parents as children) ?,1
20091231195437AA4nh9a,Epic start to the New Year Help!?,1
20060706010730AA8KTQM,in which website can i get some good screen pictures free?,0
20140421234645AA9Ohgy,"Child abuse - NOT important enough for our Prime Minister and Dep PM ,,,,,?",1
20090519124438AAGedFf,CD question? Red vs. Blue Laser?,0
20130103141539AAZO4Wa,Chemistry Titrations and Buffers Help! PLEASE! Having Really Hard Time Grasping This!?,0
20121222074851AAhqCom,Mine craft xbox 360 blaze spawn?,0
20140520155327AAqTbNI,14.5 briggs & stratten engine pdf?,0
20081226193534AAxNcCi,What kind of hairstyle should I get?,1
20100112175701AAacSVO,Can someone help me with how long will it'll take to get to mars?,0
20100711210308AAid2Wy,What do I need to do to be able to call people internationally from other countries to the U.S.?,0
20061019202512AAf4Odw,Girls...how do you reject a guy who asked you out?,1
20111002192846AAjAe73,"If Democrats are such Intellectuals, they why do they support their arguments with demagoguery?",1
20120424123034AARE2Km,Populate Excel file with data from Access database?,0
20110524114553AA4g59W,Anyone here who has ADD and is living a successful life?,1
20061214071539AAymy2k,"i've got an active wharfedale sub but the amp is no longer working, can the 'speaker' part be detached...",0
20091122120303AAjstmR,Taylor Lautner Vs. Ryan Reynolds?,1
20080228031025AAOhfKz,Name a single Christian among citizens of and born in India who has made a name in the Christian hierarchy?,1
20120127193611AAg6gpn,Barbizon modeling tips??,1
20090603070100AAycNyy,I filed for divorce and have been waiting for two weeks for him to be served. any way to find out what is up?,0
20081214065638AA7i9AX,I shared my iTunes with my lodger.  How do I remove him and his songs from my iTunes?,0
20110603200012AAmot3o,Which of these cell types lines body surfaces?,0
